pgNo,startX,startY,endX,endY,w,h,fntSize,txtColor,txtFnt,docName,pgW,pgH,topMargin,bottomMargin,leftMargin,rightMargin,lSize,lnNo,lWhiteSpaces,wordPosition,left_startX,left_startY,left_endX,left_endY,left_w,left_h,left_fntSize,left_txtColor,left_txtFnt,left_topMargin,left_bottomMargin,left_leftMargin,left_rightMargin,left_wordPosition,left_txt,right_startX,right_startY,right_endX,right_endY,right_w,right_h,right_fntSize,right_txtColor,right_txtFnt,right_topMargin,right_bottomMargin,right_leftMargin,right_rightMargin,right_wordPosition,right_txt,bottom_startX,bottom_startY,bottom_endX,bottom_endY,bottom_w,bottom_h,bottom_fntSize,bottom_txtColor,bottom_txtFnt,bottom_topMargin,bottom_bottomMargin,bottom_leftMargin,bottom_rightMargin,bottom_wordPosition,bottom_txt,top_startX,top_startY,top_endX,top_endY,top_w,top_h,top_fntSize,top_txtColor,top_txtFnt,top_topMargin,top_bottomMargin,top_leftMargin,top_rightMargin,top_wordPosition,top_txt,txt,label
1,286.33,86.07,332.23,93.95,45.9,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,86.07,698.05,286.33,279.77,46,2,7,4,232.26,86.07,282.57,93.95,50.31,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,232.26,329.43,3,631/115,335.98,86.07,369.08,93.95,33.1,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,335.98,242.92,5,Niwas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anjanee,
1,335.98,86.07,369.08,93.95,33.1,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,86.07,698.05,335.98,242.92,46,2,7,5,286.33,86.07,332.23,93.95,45.9,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,286.33,279.77,4,Anjanee,372.84,86.07,411.46,93.95,38.62,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,372.84,200.54,6,Lohiya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niwas,
1,372.84,86.07,411.46,93.95,38.62,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,86.07,698.05,372.84,200.54,46,2,7,6,335.98,86.07,369.08,93.95,33.1,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,335.98,242.92,5,Niwas,415.21,86.07,419.18,93.95,3.97,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,415.21,192.82,7,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lohiya,
1,415.21,86.07,419.18,93.95,3.97,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,86.07,698.05,415.21,192.82,46,2,7,7,372.84,86.07,411.46,93.95,38.62,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,372.84,200.54,6,Lohiya,422.93,86.07,457.69,93.95,34.76,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,422.93,154.31,8,"Vihar,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,
1,422.93,86.07,457.69,93.95,34.76,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,86.07,698.05,422.93,154.31,46,2,7,8,415.21,86.07,419.18,93.95,3.97,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,86.07,698.05,415.21,192.82,7,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vihar,",
1,182.49,99.87,211.4,107.75,28.91,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,99.87,684.25,182.49,400.6,46,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.15,99.87,251.35,107.75,36.2,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,215.15,360.65,2,"Nagar,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patel,
1,215.15,99.87,251.35,107.75,36.2,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,99.87,684.25,215.15,360.65,46,3,5,2,182.49,99.87,211.4,107.75,28.91,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,182.49,400.6,1,Patel,255.1,99.87,289.53,107.75,34.43,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,255.1,322.47,3,Indira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nagar,",
1,255.1,99.87,289.53,107.75,34.43,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,99.87,684.25,255.1,322.47,46,3,5,3,215.15,99.87,251.35,107.75,36.2,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,215.15,360.65,2,"Nagar,",293.28,99.87,325.06,107.75,31.78,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,293.28,286.94,4,nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indira,
1,293.28,99.87,325.06,107.75,31.78,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,99.87,684.25,293.28,286.94,46,3,5,4,255.1,99.87,289.53,107.75,34.43,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,255.1,322.47,3,Indira,328.81,99.87,383.76,107.75,54.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,328.81,228.24,5,"Lucknow,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nagar,
1,328.81,99.87,383.76,107.75,54.95,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,alsecure.pdf,612,792,99.87,684.25,328.81,228.24,46,3,5,5,293.28,99.87,325.06,107.75,31.78,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,293.28,286.94,4,nagar,387.51,99.87,458.13,107.75,70.62,7.88,11.03999996,-16777216,BookmanOldStyle-Bold,99.87,684.25,387.51,153.87,6,U.P.-226016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lucknow,",
